index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
111317,KOR,Asia,South Korea,2021-11-12,393042.0,2323.0,2190.0,3083.0,32.0,18.143,7660.863,45.278,42.686,60.091,0.624,0.354,,,,,,,,,,,,,,,,,,,81394840.0,41904606.0,39997410.0,985914.0,367685.0,256151.0,158.65,81.68,77.96,1.92,4993.0,,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
111904,SSD,Africa,South Sudan,2021-11-12,12558.0,12.0,15.0,133.0,0.0,0.0,1103.381,1.054,1.318,11.686,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11381377.0,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,,,,
112555,ESP,Europe,Spain,2021-11-12,5047156.0,4353.0,3073.857,87673.0,26.0,24.143,107971.617,93.122,65.758,1875.55,0.556,0.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,,,,
113211,LKA,Asia,Sri Lanka,2021-11-12,548784.0,723.0,681.571,13950.0,23.0,18.429,25528.036,33.632,31.705,648.919,1.07,0.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21497306.0,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782,,,,
113822,SDN,Africa,Sudan,2021-11-12,41093.0,0.0,94.286,3099.0,0.0,0.0,915.021,0.0,2.099,69.006,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,,
114431,SUR,South America,Suriname,2021-11-12,49950.0,48.0,78.571,1133.0,7.0,3.714,84403.8,81.109,132.767,1914.505,11.828,6.276,,,,,,,,,,,,,,,,,,,463705.0,253654.0,210051.0,,1485.0,1083.0,78.36,42.86,35.49,,1830.0,,591798.0,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,,,,
115082,SWE,Europe,Sweden,2021-11-12,1182471.0,939.0,768.143,15082.0,4.0,3.571,116383.12,92.42,75.603,1484.426,0.394,0.352,,,,,,,,,,,,,,,,,,,14898408.0,7276486.0,6964838.0,,59012.0,28704.0,146.64,71.62,68.55,,2825.0,,10160159.0,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,,,,
115709,CHE,Europe,Switzerland,2021-11-12,909038.0,3926.0,3084.571,11325.0,16.0,7.429,104301.374,450.462,353.918,1299.41,1.836,0.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8715494.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,,,,
116310,SYR,Asia,Syria,2021-11-12,45820.0,0.0,232.714,2650.0,0.0,8.143,2507.154,0.0,12.734,145.001,0.0,0.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18275704.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567,,,,
116977,TWN,Asia,Taiwan,2021-11-12,16475.0,10.0,5.429,848.0,0.0,0.143,690.631,0.419,0.228,35.548,0.0,0.006,,,,,,,,,,,,,,,,,,,27479599.0,17808765.0,9670834.0,,269334.0,199907.0,115.19,74.65,40.54,,8380.0,30.56,23855008.0,,42.2,,8.353,,,103.957,,,,,,80.46,,,,,
